Land;Kategorie;Kriterium;Regionaler Status;Kommentar;Interpretierter Status;URL
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374878/133374880
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378205/133378212
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374918/133374920
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373582/133373584
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374928/133374930
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374988/133374990
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61909812/61909824
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378354/133378356
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373562/133373564
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378412/133378414
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378426/133378434
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378466/133378468
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378570/133378572
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378580/133378583
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375078/133375080
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378635/133378638
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378666/133378668
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61910010/61910019
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378753/133378755
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375118/133375120
;Near Threatened;;;;;http:/www.iucnredlist.org/species/147998870/148583958
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133379850/133379852
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373682/133373684
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373712/133373714
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373742/133373744
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376346/133376348
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376118/133376120
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373095/133373097
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373085/133373087
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373025/133373027
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61912809/61912842
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61913082/61913091
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380252/133380254
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380298/133380300
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380321/133380323
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380395/133380397
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375424/133375426
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380436/133380438
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380453/133380455
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375454/133375456
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380463/133380465
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380554/133380566
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380584/133380586
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375527/133375529
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380691/133380693
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380721/133380723
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375577/133375579
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380798/133380800
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133380873/133380875
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61913695/61913703
