;;;;;bubinga;Fabaceae;Guibourtia;;;"Appendix II (Guibourtia demeusei, Guibourtia pellegriniana, Guibourtia tessmannii)";
;;;;;boxwood;Buxaceae;Buxus ;sempervirens;;-;
;;;;;cocobolo;Fabaceae;Dalbergia ;retusa;;Appendix II;
;;;;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
;;;;;rosewood;Fabaceae;Dalbergia spp.;;;Appendix II;
;;;;;kingwood;;;;;;
;;;;;amarant;;;;;;
;;;;;Jatoba;;;;;;
;;;;;snake wood;Moraceae;Brosimum ;guianense;;-;
;;;;;tigerwood;Anacardiaceae;Astronium ;fraxinifolium;;-;
;;;;;walnut;Juglandaceae;Juglans;regia;;-;
;;;;;padouk;Fabaceae;Pterocarpus;;;Appendix II (Pterocarpus erinaceus, Pterocarpus santalinus, Pterocarpus tinctorius);
;;Bassoon, Contra-bassoon;;;maple;Sapindaceae;Acer;pseudoplatanus;;-;
;;;reed;;reed;Poaceae;Arundo ;donax;;-;
;;Bagpipes;;;;;;;;;
;Percussion instruments;Timpani;;;;;;;;;
;;Bass drum;;;;;;;;;
;;Tam-tam;;;;;;;;;
;;Woodblock;;;;;;;;;
;;Tambourine;;;;;;;;;
;;Xylophone;;bars;rosewood;Leguminosae / Fabaceae;Dalbergia ;stevensonii;;Appendix II;
;;;Mallets;Stick (Rattan, Wei§buche oder Hickory);;;;;;;
;;;;Head ball (Palisander);palisander;Leguminosae / Fabaceae;Dalbergia spp.;;;Appendix II;
;;Marimbaphone;;Bars;rosewood;Leguminosae / Fabaceae;Dalbergia ;stevensonii;;Appendix II;
;;;;;padouk;Leguminosae / Fabaceae;Pterocarpus;;;Appendix II (Pterocarpus erinaceus, Pterocarpus santalinus, Pterocarpus tinctorius);
;;;;;bubinga;Leguminosae / Fabaceae;Guibourtia ;demeusei;;Appendix II;
;;;;;Mahagoni;Meliaceae;Cedrela;;;Appendix II (populations of the neotropics into effect 28.08.2020);
;;;;Resonators;;;;;;;
;;;;Mallets;;;;;;;
;Plucked instruments;Harps;;xxx;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Guitar;;belly;spruce;;;;;;
;;;;;xxx;;;;;;
;;;;back;rio-palisander;;;;;;
;;;;;palisander;;;;;;
;;;;;xxx;;;;;;
;;;;;xxx;;;;;;
;;;;ribs;;;;;;;
;;;;;;;;;;;
;;;;Resonanzbalken;spruce;;;;;;
;;;;Fingerboard;;;;;;;
;;;;neck and head;;;;;;;
;;;;;;;;;;;
;Keyboard instrument;Grand piano/piano;;Resonanzboden;spruce;Pinaceae;Picea ;abies;;;
;;;;keyboard;spruce;;;;;;
;;;;;linde;;;;;;
;;;;;pappel;;;;;;
;;;;White key coat ;Knochen;;;;;;
;;;;;Mammut Elfenbein;Elephantidae;Mammuthus;;;;
;;;;Black key coat ;Ebenholz;Ebenaceae;Diosypros spp.;;;;
;;;;;Grenadill;Leguminosae / Fabaceae;Dalbergia;melanoxylon;;;
;;Cembalo;;;;;;;;;
;;Celesta;;;;;;;;;
;;Pipe organ;;;;;;;;;
